CAPP_GUID,CAPP_PARCEL_NBR,CAPP_POST_KEY,CAPP_POST_USERID
{AE6867B6-D6D7-42A4-AEC1-22EDE396ED16},0186094510000,3/19/2024 7:56,I3532
{A808DF77-996B-4BB5-A4BC-8B020B651737},1.02866E+12,3/20/2024 7:47,I3532
{BF3C6058-2B81-4737-AA7D-D81C22E7176F},0486131100000,10/19/2022 8:17,H8585
{B66E333E-F924-4945-8C70-841C2910F0BD},0303175390000,7/27/2021 12:55,H8585
{CAA5AED4-0C1A-4805-81FE-5F70E380AAD4},0258131370000,2/17/2022 13:42,H8585
{C8C3A7AE-736D-4727-A539-1CAAE35C3BC5},0262042430000,7/14/2022 8:32,H8585
{DC9BA24C-3CDF-47FE-8DD3-5AA0C5A2D3E5},0186094510000,3/19/2024 7:56,I3532
{D9C8C25F-8BE1-4493-A203-D8CB8D886870},0441301010000,7/20/2022 16:45,H8585
{D87118E1-7450-4A4A-A533-23E630757A93},0133171320000,2/27/2024 7:53,I3532
{E026EAA6-2FAA-44FD-961E-E060E8251327},0186094510000,3/19/2024 7:56,I3532
{E8C335DF-119E-410C-A952-95A1E5D82971},1.02835E+12,5/18/2023 8:15,A6057
{E9547BD6-640E-4B47-BC4D-C42C533BC63A},0281371750000,3/22/2023 10:18,H8585
{FA6CD4F5-9DF0-4232-97A3-45067D253A70},0258131370000,7/26/2022 8:02,H8585
{FDCE2491-A6A5-4883-930F-2D0247F5A010},0441301010000,12/7/2023 7:32,I3532
{F579EE69-0EF8-47BC-91A0-1FBABD95942C},0303175390000,10/12/2023 17:17,A6057
{F843379C-9EF7-41B9-BE9D-AC6A45FBE187},3.09321E+12,9/19/2023 13:28,A6057
{0AFE1AB8-3E0E-4CEA-BF8F-73BCEECD0606},1.02866E+12,3/4/2024 16:26,I3532
{0F1E6651-ABEA-418F-824F-7100A7AC19A0},1.02866E+12,3/20/2024 7:47,I3532
{016F4232-F982-4293-9C89-3AB6B499A0D9},1.11036E+12,7/26/2022 7:33,H8585
{06CCC542-6119-45D2-AE1F-E70576E556F1},0250211340000,9/29/2021 16:13,H8585
{1AEEEB40-EEFE-4C34-9BEC-33D9D6278DC7},0251073440000,7/20/2023 9:17,A6057
{18AB7549-F7D4-405B-BED5-A23CA29CBF8F},0132132040000,8/9/2022 8:34,H8585
{219D9D31-60FF-403E-AB26-6C0607E91879},1.08307E+12,1/3/2024 15:42,I3532
{2361C0E1-0C09-4112-A837-D53AA4445DBC},0186094510000,3/19/2024 7:56,I3532
{266332DA-42F7-4A65-B48E-ACF38A61094B},0194011140000,12/19/2022 8:33,H8585
{4DF3C4F8-7DA8-45F0-AE33-F6E6A09B266A},0186094510000,3/19/2024 7:56,I3532
{33BFFE6C-DA0B-4A71-9545-9FD8399AC7E4},0208261550000,10/5/2023 8:05,A6057
{3325AE64-28BC-4DE2-BBA9-241480D279F7},0133171320000,2/27/2024 7:55,I3532
{56FBB90B-2A55-43ED-8356-397FACE6F3BB},1.02866E+12,3/20/2024 7:47,I3532
{5C628339-C895-44C3-B7B3-F8CBAE1262BE},0130182090000,3/25/2024 16:10,I3532
{6A3D6088-ACB1-41AB-9C7C-43A2CDD701CD},0133171320000,2/8/2024 9:44,I3532
{635A7B10-A8AB-4FF4-9330-61576EC38B5A},0441301010000,12/7/2023 7:34,I3532
{77CEA620-A745-4593-8D67-B43467E4CDF9},1.02866E+12,3/20/2024 7:47,I3532
{7042085F-E258-4CEA-B425-1D4B328C4151},1.02835E+12,5/9/2022 15:46,H8585
{744ED70D-9C0F-461B-867F-4B08D54CABD9},1.02835E+12,6/8/2021 16:54,H8585
{78FAC144-ADD6-46C6-81EE-E10A0ED1F234},0281371750000,4/10/2023 10:55,H8585
{818A8A63-8411-4CF9-93BB-0C01D194B7D2},0494181350000,7/21/2022 9:26,H8585
{9603D688-C564-4F98-8E98-FB970B26884F},0186094510000,3/19/2024 7:55,I3532
{3DB7489E-3995-4FA3-9547-5E3E020E2652},0415132040000,3/22/2024 9:11,I3532
{6B3A3AC0-43F1-4C50-91F0-864932ED2558},0281371750000,4/8/2024 11:06,I3532
{FF7C9C5A-F2F8-434B-9A48-CA10D4F11895},1.02835E+12,4/11/2024 8:12,I3532
{8DEB396F-8E1D-434E-8693-99A54354B54B},1.02866E+12,4/11/2024 16:41,I3532
